date,in,out,clus
2023/5/22,4254121025.3037696,5044486520.109609,clus
2023/5/23,4431642054.993687,5245780951.6380005,clus
2023/5/24,2629204302.9215198,3828386578.9203696,clus
2023/5/25,5274859802.996413,5452182667.445323,clus
2023/5/26,5032600696.60239,4645912945.882492,clus
2023/5/27,0,0,clus
2023/5/28,0,0,clus
2023/5/29,4541664502.524149,4877942841.411272,clus
2023/5/30,2563376858.538644,4906621036.694813,clus
2023/5/31,5391948412.187396,4817905888.82854,clus
2023/6/1,4312874085.342172,4500485796.32919,clus
2023/6/2,5429191845.400125,5320394753.435462,clus
2023/6/3,0,0,clus
2023/6/4,0,0,clus
2023/6/5,5909730561.326387,5475793833.391537,clus
2023/6/6,5223441492.468704,4839200124.85558,clus
2023/6/7,4711945357.302524,5515692220.928739,clus
2023/6/8,2790181601.267291,2615006605.054382,clus
2023/6/9,4638651460.027518,4259144648.4500594,clus
2023/6/10,0,0,clus
2023/6/11,0,0,clus
2023/6/12,4195668321.302003,4983231750.2336645,clus
2023/6/13,4346403739.82003,4867703298.475946,clus
2023/6/14,5231700196.104433,5270187301.735288,clus
2023/6/15,3436531536.566178,4064649789.285591,clus
2023/6/16,5712979682.376644,5317387263.237889,clus
2023/6/17,0,0,clus
2023/6/18,0,0,clus
2023/6/19,4141137494.80086,5284838556.412631,clus
2023/6/20,3964438953.183658,4850575603.562394,clus
2023/6/21,4776339852.413044,5286576436.8847065,clus
2023/6/22,5091233578.631869,5882929617.55305,clus
2023/6/23,5922381127.647829,5810701283.9121275,clus
2023/6/24,0,0,clus
2023/6/25,0,0,clus
2023/6/26,4138722601.750331,4201556002.7548537,clus
2023/6/27,2736107401.889821,4207516933.5408926,clus
2023/6/28,3297439075.734403,4612188277.423636,clus
2023/6/29,4536171206.47234,3204636936.9335,clus
2023/6/30,5393474330.728301,5257885693.559768,clus
2023/7/1,0,0,clus
2023/7/2,0,0,clus
2023/7/3,5470142087.607771,5606961860.769697,clus
2023/7/4,4354879087.559445,5501229503.281717,clus
2023/7/5,5981010284.001347,4825235353.822853,clus
2023/7/6,5552825921.483994,4681607080.506036,clus
2023/7/7,5716825503.686024,4857988054.750036,clus
2023/7/8,0,0,clus
2023/7/9,0,0,clus
2023/7/10,5509085748.169365,4206247737.6718655,clus
2023/7/11,5010504744.895714,5652914932.215483,clus
2023/7/12,5791046456.992401,4778403357.468326,clus
2023/7/13,4763454941.04816,2728216691.965334,clus
2023/7/14,5900123934.10161,5901214293.875113,clus
2023/7/15,0,0,clus
2023/7/16,0,0,clus
2023/7/17,5263674424.339599,4896891043.956639,clus
2023/7/18,4657329090.739832,5345036912.154077,clus
2023/7/19,5583158087.451697,5579236285.5891075,clus
2023/7/20,3736050761.7564535,2643896900.0416107,clus
2023/7/21,4883061002.746754,5775408365.516599,clus
2023/7/22,0,0,clus
2023/7/23,0,0,clus
2023/7/24,4234134032.8552117,4285983364.1056724,clus
2023/7/25,5236436126.632523,4202245352.2455807,clus
2023/7/26,4252422828.6478,2681907515.910484,clus
2023/7/27,5412484454.312992,4162697561.2837996,clus
2023/7/28,4966598946.252938,3435676989.3903008,clus
2023/7/29,0,0,clus
2023/7/30,0,0,clus
2023/7/31,5625599134.515005,5894497154.767717,clus
2023/8/1,5506756370.517883,4752519171.061831,clus
2023/8/2,4442867289.818592,3896010624.339513,clus
2023/8/3,5812708770.189472,4222394964.612303,clus
2023/8/4,4022707289.534838,4937321283.988253,clus
2023/8/5,0,0,clus
2023/8/6,0,0,clus
2023/8/7,2797044790.67018,2793815616.942762,clus
2023/8/8,5492089758.530847,5166737530.19432,clus
2023/8/9,4749741159.047408,4571424172.563722,clus
2023/8/10,4447191677.038905,5926445078.881222,clus
2023/8/11,4924697066.769097,2607899779.87644,clus
2023/8/12,0,0,clus
2023/8/13,0,0,clus
2023/8/14,5055402218.1726,5985929592.2386,clus
2023/8/15,3884635711.003302,4923256339.047748,clus
2023/8/16,5258797276.270525,5391497377.969234,clus
2023/8/17,5255116160.168127,5168628623.846201,clus
2023/8/18,4090892760.682916,4561926379.184461,clus
2023/8/19,0,0,clus
2023/8/20,0,0,clus
2023/8/21,5780527567.781833,4911313505.571425,clus
2023/8/22,4554762365.962265,4376242319.447523,clus
2023/8/23,4706704456.052105,5167312223.701744,clus
2023/8/24,4935987019.165417,4965526861.199007,clus
2023/8/25,5072192732.688241,4619055232.572656,clus
2023/8/26,0,0,clus
2023/8/27,0,0,clus
2023/8/28,5369462345.1077585,4325233878.689782,clus
2023/8/29,5645074485.846337,5899599826.583848,clus
2023/8/30,5226830391.87158,4836486072.581238,clus
2023/8/31,5732127779.000816,4090437340.212379,clus
2023/9/1,3441158417.1951237,4526383326.954582,clus
2023/9/2,0,0,clus
2023/9/3,0,0,clus
2023/9/4,4300833782.207056,5188261430.70427,clus
2023/9/5,5939828795.629207,5684237846.271418,clus
2023/9/6,4937386319.58994,4829639004.67533,clus
2023/9/7,4112750993.3018546,5729444752.510107,clus
2023/9/8,5999435346.572262,5993273674.14781,clus
2023/9/9,0,0,clus
2023/9/10,0,0,clus
2023/9/11,5537974830.361021,5889531459.764856,clus
2023/9/12,4494696203.486395,4901088270.620187,clus
2023/9/13,5908102054.517445,5212349268.90176,clus
2023/9/14,5343401368.811713,5236256480.9157915,clus
2023/9/15,4227115184.399258,5343146391.185599,clus
2023/9/16,0,0,clus
2023/9/17,0,0,clus
2023/9/18,5544636783.471278,5040327002.223987,clus
2023/9/19,5103813677.54897,5121875943.070773,clus
2023/9/20,4806965732.424794,4268030456.901282,clus
2023/9/21,4387843139.184048,4050773878.3836617,clus
2023/9/22,4425928323.017821,4272742951.1735396,clus
2023/9/23,0,0,clus
2023/9/24,0,0,clus
2023/9/25,3376468897.0164924,3974794217.1365824,clus
2023/9/26,4874949844.047458,5808317388.987496,clus
2023/9/27,5027978978.319622,5567306025.4822855,clus
2023/9/28,5244173400.455748,5724727417.49349,clus
2023/9/29,7424280935.486463,6220610221.393557,clus
2023/9/30,0,0,clus
2023/10/1,0,0,clus
2023/10/2,7389881437.742242,6738174439.619307,clus
2023/10/3,4918271512.476522,5960065150.570954,clus
2023/10/4,4657503220.575017,5266801708.633451,clus
2023/10/5,4151726656.217328,4257759443.8212986,clus
2023/10/6,4303805387.024589,4277654345.2988205,clus
2023/10/7,0,0,clus
2023/10/8,0,0,clus
2023/10/9,4363760168.798289,4691334566.647726,clus
2023/10/10,4947923280.525744,5335115477.042054,clus
2023/10/11,4384578037.617342,4081737232.532958,clus
2023/10/12,4557180678.063917,4354020968.5534935,clus
2023/10/13,2801589677.751502,3651946920.0818143,clus
2023/10/14,0,0,clus
2023/10/15,0,0,clus
2023/10/16,4728539722.096151,5006834541.709714,clus
2023/10/17,4078624279.682198,5598820797.818085,clus
2023/10/18,4163518063.897744,5747157248.213554,clus
2023/10/19,4122155919.709728,4553755296.294408,clus
2023/10/20,5496519380.767316,4369042038.712755,clus
2023/10/21,0,0,clus
2023/10/22,0,0,clus
2023/10/23,4740944205.582764,4969045970.382043,clus
2023/10/24,4737827279.1395445,4925069432.266295,clus
2023/10/25,4073366405.7811956,4504873888.688042,clus
2023/10/26,5790413675.374398,5023354884.231333,clus
2023/10/27,4214344022.6795526,4894824733.646909,clus
2023/10/28,0,0,clus
2023/10/29,0,0,clus
2023/10/30,4484941007.26946,4538486461.898762,clus
2023/10/31,4040142395.555453,4644158331.166356,clus
2023/11/1,4654994704.355829,4239524263.6385026,clus
2023/11/2,5187184907.108098,5358204638.28898,clus
2023/11/3,4996884397.858114,4173840576.1748476,clus
2023/11/4,0,0,clus
2023/11/5,0,0,clus
2023/11/6,5173682236.041758,5490878948.36866,clus
2023/11/7,4255160605.591128,4567551811.597449,clus
2023/11/8,5291834482.663202,5141556609.337824,clus
2023/11/9,5973030497.585959,5211549638.713774,clus
2023/11/10,4203564945.2408075,4305718278.368665,clus
2023/11/11,0,0,clus
2023/11/12,0,0,clus
2023/11/13,4321362746.519112,4373134048.102612,clus
2023/11/14,4346747190.58951,5793530849.252851,clus
2023/11/15,3811278473.925637,3525992067.474154,clus
2023/11/16,4224077804.336105,4795711198.091483,clus
2023/11/17,5731014251.78796,5634144141.89856,clus
2023/11/18,0,0,clus
2023/11/19,0,0,clus
2023/11/20,4341775174.780132,5337286439.848862,clus
2023/11/21,5113525786.02786,5143225378.939799,clus
2023/11/22,5538985866.383874,4374087497.1150465,clus
2023/11/23,4850872877.232834,5015220757.36891,clus
2023/11/24,4229673649.478407,5221240084.8832655,clus
2023/11/25,0,0,clus
2023/11/26,0,0,clus
2023/11/27,5162476442.845224,4308725430.548405,clus
2023/11/28,5065178865.103171,4103647073.6448536,clus
2023/11/29,4268829353.8779488,4126749940.9455357,clus
2023/11/30,4644707689.949446,5619748891.70927,clus
2023/12/1,5363005444.447858,5520455719.779373,clus
2023/12/2,0,0,clus
2023/12/3,0,0,clus
2023/12/4,4943152377.100317,4823681828.294537,clus
2023/12/5,5859058288.495651,5661238815.575458,clus
2023/12/6,4248594446.9710894,5461734950.407289,clus
2023/12/7,4362466132.331321,4132992534.733555,clus
2023/12/8,5148946226.359824,5683657553.516543,clus
2023/12/9,0,0,clus
2023/12/10,0,0,clus
2023/12/11,5590534623.719781,4403254640.0954895,clus
2023/12/12,4328531595.861986,5629149440.462764,clus
2023/12/13,5046130849.538239,4717660968.2470045,clus
2023/12/14,4784890214.845271,5633198878.943154,clus
2023/12/15,4753888858.849815,4925359571.339212,clus
2023/12/16,0,0,clus
2023/12/17,0,0,clus
2023/12/18,5495218760.352503,5005440780.184958,clus
2023/12/19,5799149146.549136,4767782442.746423,clus
2023/12/20,5812944221.929094,5248475991.827985,clus
2023/12/21,5879664247.22695,5255416106.142837,clus
2023/12/22,4278544145.3267746,5588050378.540592,clus
2023/12/23,0,0,clus
2023/12/24,0,0,clus
2023/12/25,5066922183.952643,5787785166.101915,clus
2023/12/26,4303349759.465503,4623444135.591097,clus
2023/12/27,5487892585.145354,4067064869.471559,clus
2023/12/28,5524917371.481381,5753531273.523499,clus
2023/12/29,6513122623.073861,7231885957.008019,clus
2023/12/30,0,0,clus
2023/12/31,0,0,clus
2024/1/1,5692904583.469036,4254977324.6639647,clus
2024/1/2,6595930935.84055,7195943048.669331,clus
2024/1/3,4458502790.465283,5444505136.786133,clus
2024/1/4,5282295265.770595,5387896888.9342,clus
2024/1/5,4503598117.813906,4691391987.007839,clus
2024/1/6,0,0,clus
2024/1/7,0,0,clus
2024/1/8,5816901122.667256,5166783589.532241,clus
2024/1/9,4924011607.288265,5894566679.223631,clus
2024/1/10,5172459664.033594,5011777357.768931,clus
2024/1/11,4036220367.641681,5744247817.888303,clus
2024/1/12,5130266367.178417,5393301647.753784,clus
2024/1/13,0,0,clus
2024/1/14,0,0,clus
2024/1/15,5414477268.626798,4305078085.828523,clus
2024/1/16,5213430092.765712,4848261342.604773,clus
2024/1/17,5868734029.53803,5851137025.813553,clus
2024/1/18,4226476091.681511,5969682397.924669,clus
2024/1/19,4249325362.406534,5841683765.234744,clus
2024/1/20,0,0,clus
2024/1/21,0,0,clus
2024/1/22,5037676114.252144,5182550871.489859,clus
2024/1/23,4109523277.6440625,4670394483.291802,clus
2024/1/24,4009264046.009206,4666998343.382288,clus
2024/1/25,5074791205.875846,5839711232.8255205,clus
2024/1/26,4693906403.792456,5475002496.219497,clus
2024/1/27,0,0,clus
2024/1/28,0,0,clus
2024/1/29,4449209645.879964,4904879032.265387,clus
2024/1/30,4352773973.012447,4996735545.47896,clus
2024/1/31,5829691802.1362,4724787798.233267,clus
2024/2/1,5264528575.839061,4026188913.1766677,clus
2024/2/2,4356071933.739503,5922140634.9389105,clus
2024/2/3,0,0,clus
2024/2/4,0,0,clus
2024/2/5,4829248247.454048,4170699336.157288,clus
2024/2/6,5004390020.662485,5190770034.640087,clus
2024/2/7,4374901175.997945,3024763982.7389646,clus
2024/2/8,4410279280.964015,4381375441.327333,clus
2024/2/9,6054824501.772142,6708100417.664998,clus
2024/2/10,0,0,clus
2024/2/11,0,0,clus
2024/2/12,6847261699.893925,6098562959.142529,clus
2024/2/13,4906577669.496055,5048780538.65516,clus
2024/2/14,4801526121.750652,5119280662.616436,clus
2024/2/15,4363856260.990542,5723571242.027035,clus
2024/2/16,4746618632.559506,4541489346.287107,clus
2024/2/17,0,0,clus
2024/2/18,0,0,clus
2024/2/19,4817468342.196193,4050772711.3206897,clus
2024/2/20,5431944457.694795,5317847883.820303,clus
2024/2/21,3054930404.832373,3077686991.4701786,clus
2024/2/22,4039421075.5087285,4208217163.9691477,clus
2024/2/23,4357089324.108667,5305492215.703749,clus
2024/2/24,0,0,clus
2024/2/25,0,0,clus
2024/2/26,4198882785.5186906,4486344381.998908,clus
2024/2/27,5711392936.212571,5660439729.133984,clus
2024/2/28,5336170273.141292,4409968590.831642,clus
2024/2/29,5792671637.042239,4026003847.021472,clus
2024/3/1,3019715637.865068,2566330509.684549,clus
2024/3/2,0,0,clus
2024/3/3,0,0,clus
2024/3/4,5166083121.939384,4842849101.184996,clus
2024/3/5,5634887123.476882,4683634703.395752,clus
2024/3/6,4759384816.334534,5180589885.029615,clus
2024/3/7,5248297815.698269,4818823304.382481,clus
2024/3/8,4872253058.270634,4588931519.083836,clus
2024/3/9,0,0,clus
2024/3/10,0,0,clus
2024/3/11,5527211588.319522,4280226351.532905,clus
2024/3/12,4974862396.499027,5789104453.788183,clus
2024/3/13,4850427008.938467,4044938616.640235,clus
2024/3/14,5083268429.321733,5266956439.652295,clus
2024/3/15,4278712148.1456485,5669860473.5985985,clus
2024/3/16,0,0,clus
2024/3/17,0,0,clus
2024/3/18,5051380364.605371,4343358571.696608,clus
2024/3/19,4036781353.0949335,5828597613.120998,clus
2024/3/20,5153032951.028506,4548110441.374413,clus
2024/3/21,5302840776.703728,5659483607.414403,clus
2024/3/22,4021991657.3169613,4273771260.1376147,clus
2024/3/23,0,0,clus
2024/3/24,0,0,clus
2024/3/25,5747780155.1250305,5194826204.340617,clus
2024/3/26,5330073349.092511,4350742557.2469,clus
2024/3/27,4837541049.784146,4766277056.498995,clus
2024/3/28,4093931933.55011,4332566737.512159,clus
2024/3/29,4165597335.850253,5206304218.9327755,clus
2024/3/30,0,0,clus
2024/3/31,0,0,clus
2024/4/1,4778591228.083953,4577387473.5414,clus
2024/4/2,5438091810.36849,4594243431.24635,clus
2024/4/3,4952100804.398199,5327342330.725297,clus
2024/4/4,5465144194.420501,4429880757.181514,clus
2024/4/5,3155660110.749563,3987694826.7506375,clus
2024/4/6,0,0,clus
2024/4/7,0,0,clus
2024/4/8,3740915618.0030913,3992107122.2922235,clus
2024/4/9,5541824407.491643,4213196506.267544,clus
2024/4/10,4320471890.509008,3738728290.5154963,clus
2024/4/11,4869654677.207492,4492804066.478213,clus
2024/4/12,5598831757.937959,5389392941.708854,clus
2024/4/13,0,0,clus
2024/4/14,0,0,clus
2024/4/15,5180461333.738174,4721947793.8800535,clus
2024/4/16,4793283938.655607,2842046577.2974033,clus
2024/4/17,4892011545.915912,4370265857.677239,clus
2024/4/18,5745891671.752816,5464449772.819122,clus
2024/4/19,5317566733.421435,5384553129.035706,clus
2024/4/20,0,0,clus
2024/4/21,0,0,clus
2024/4/22,4499336017.718372,4978849927.286281,clus
2024/4/23,5975336015.993294,5888118679.373226,clus
2024/4/24,4263937931.2892213,4813120793.539165,clus
2024/4/25,5135890461.105259,5830976595.176084,clus
2024/4/26,4243550668.1171,3243372518.4313765,clus
2024/4/27,0,0,clus
2024/4/28,0,0,clus
2024/4/29,5942116490.330735,5888532978.226868,clus
2024/4/30,6711321324.986196,7293063976.48397,clus
2024/5/1,4638200946.486511,5657830948.301354,clus
2024/5/2,6055511452.073239,6894404817.72308,clus
2024/5/3,4241133771.554558,4153906403.258418,clus
2024/5/4,0,0,clus
2024/5/5,0,0,clus
2024/5/6,4679749927.536132,5449533543.057523,clus
2024/5/7,3288225844.5765257,3848728230.938343,clus
2024/5/8,4637505005.86414,5251782752.874018,clus
2024/5/9,5231726376.36461,4465918949.507268,clus
2024/5/10,4675247184.752325,2553173527.125968,clus
2024/5/11,0,0,clus
2024/5/12,0,0,clus
2024/5/13,5057874268.054424,5878135397.025792,clus
2024/5/14,5995868221.066675,4701423630.90342,clus
2024/5/15,4803861827.218484,4959751240.607818,clus
2024/5/16,5747354228.372678,5968166938.39859,clus
2024/5/17,4835533564.334667,4842714004.554141,clus
2024/5/18,0,0,clus
2024/5/19,0,0,clus
2024/5/20,4477554291.536605,4220948226.2627897,clus
2024/5/21,4574477983.308164,4592616240.911981,clus
2024/5/22,4084186379.272724,4035747869.466828,clus
2024/5/23,4855546267.4717245,4768653294.319364,clus
2024/5/24,4436507775.730128,5899922367.90045,clus
2024/5/25,0,0,clus
2024/5/26,0,0,clus
2024/5/27,4178822004.6245193,4835161551.569857,clus
2024/5/28,5889464044.582821,4934803022.49974,clus
2024/5/29,4334067892.184151,5982337252.2739525,clus
2024/5/30,5885463548.270251,5299293297.984737,clus
2024/5/31,5025377022.033017,4461339623.435517,clus
2024/6/1,0,0,clus
2024/6/2,0,0,clus
2024/6/3,4440972418.140351,4372876524.288509,clus
2024/6/4,4700250518.33346,4115685353.126793,clus
2024/6/5,5767571769.926851,5855504566.390426,clus
2024/6/6,4347790498.438974,4792484037.805317,clus
2024/6/7,5392041236.107584,4307791812.67971,clus
2024/6/8,0,0,clus
2024/6/9,0,0,clus
2024/6/10,4448881143.673322,4447635229.6452465,clus
2024/6/11,5185879869.683406,5160172415.675622,clus
2024/6/12,4693652156.575951,3164000106.471765,clus
2024/6/13,5777496159.737954,5911302996.459507,clus
2024/6/14,5619032149.449757,5310483961.278043,clus
2024/6/15,0,0,clus
2024/6/16,0,0,clus
2024/6/17,4173973519.8228207,4816906426.141397,clus
2024/6/18,4519507567.520653,5446840227.37717,clus
2024/6/19,4162092431.815296,4440366403.899623,clus
2024/6/20,4152261718.9806004,5702413828.097537,clus
2024/6/21,4961173154.653296,5184815569.319036,clus
2024/6/22,0,0,clus
2024/6/23,0,0,clus
2024/6/24,4695618415.804386,5356032305.118127,clus
2024/6/25,4534056540.338842,5757259972.710316,clus
2024/6/26,5316903669.316851,5701163458.188484,clus
2024/6/27,5416725953.430069,5674026656.7273445,clus
2024/6/28,5360281543.520601,5237222756.430368,clus
2024/6/29,0,0,clus
2024/6/30,0,0,clus
2024/7/1,4317210210.586147,5761741518.397857,clus
2024/7/2,4058494566.0691185,5651633501.129525,clus
2024/7/3,4670237708.518284,5487016512.583216,clus
2024/7/4,5635934048.238125,5664268355.915483,clus
2024/7/5,4012771743.433667,4574076266.349826,clus
2024/7/6,0,0,clus
2024/7/7,0,0,clus
2024/7/8,5962372356.054847,5263627054.033337,clus
2024/7/9,5268011406.199223,5079970759.431711,clus
2024/7/10,4213961277.653917,5522055805.004056,clus
2024/7/11,5925984007.717989,4683744332.077372,clus
2024/7/12,5864056211.020035,4205019455.9813585,clus
2024/7/13,0,0,clus
2024/7/14,0,0,clus
2024/7/15,5375771444.601627,4135674118.210344,clus
2024/7/16,5416344177.290563,4134701202.9375434,clus
2024/7/17,4691766113.905913,5241831035.534954,clus
2024/7/18,4678842015.38094,4933722422.943492,clus
2024/7/19,5499303663.485849,4260172480.261264,clus
2024/7/20,0,0,clus
2024/7/21,0,0,clus
2024/7/22,4049173832.917603,4044247103.057995,clus
2024/7/23,4977286380.809332,5540814835.615586,clus
2024/7/24,4891805412.753496,4547253332.563332,clus
2024/7/25,4852362604.471946,4902774048.65935,clus
2024/7/26,5589619097.499858,5387364451.562977,clus
2024/7/27,0,0,clus
2024/7/28,0,0,clus
2024/7/29,4164762091.2316856,5360998604.149426,clus
2024/7/30,4546519053.996419,5901727124.500821,clus
2024/7/31,4864669602.085204,5887231840.335197,clus
2024/8/1,5277051895.328171,4795188795.925589,clus
2024/8/2,5967955295.919656,4818668012.630086,clus
2024/8/3,0,0,clus
2024/8/4,0,0,clus
2024/8/5,4459909211.782172,4426209408.050167,clus
2024/8/6,4129167063.4397125,3421315859.309403,clus
2024/8/7,4946419813.383115,5936386855.829443,clus
2024/8/8,5737246335.9112215,5553193705.583484,clus
2024/8/9,5689566456.233775,5522047981.885998,clus
2024/8/10,0,0,clus
2024/8/11,0,0,clus
2024/8/12,4262489755.3647757,4065052358.982504,clus
2024/8/13,5233300629.041476,5593074581.9523535,clus
2024/8/14,4234616377.924789,4250371584.405101,clus
2024/8/15,4860611789.798925,4401049453.400674,clus
2024/8/16,4128417874.1502686,5163942803.828797,clus
2024/8/17,0,0,clus
2024/8/18,0,0,clus
2024/8/19,5595118201.274376,4620723917.847148,clus
2024/8/20,4023241079.8162017,4144893775.589118,clus
2024/8/21,4959877669.434247,5200041096.238608,clus
2024/8/22,5389963772.253084,5720244794.378408,clus
2024/8/23,4079237650.6967144,4961013894.515657,clus
2024/8/24,0,0,clus
2024/8/25,0,0,clus
2024/8/26,4484090031.725055,5973325186.534293,clus
2024/8/27,4997776306.902712,5236311468.636238,clus
2024/8/28,5119297366.973828,4019541694.838368,clus
2024/8/29,5035423286.769423,4175732998.2896667,clus
2024/8/30,4066406217.582733,4157156994.310042,clus
2024/8/31,0,0,clus
2024/9/1,0,0,clus
2024/9/2,4265431508.086121,5135081696.523116,clus
2024/9/3,5601173398.218165,4400300488.48962,clus
2024/9/4,4209135680.668801,5272860499.087273,clus
